candidate_id,topic_area,title,authors,venue_or_publisher,year,identifier,verification_method,verification_status,relevance_note
CR-001,historical_network_analysis,Complicating the Social Networks for Better Storytelling: An Empirical Study of Chinese Historical Text and Novel,unconfirmed (listed on arXiv/IEEE; author names not independently re-verified beyond listing page),arXiv preprint / IEEE Journals & Magazine,2020,arXiv:2008.10835; https://arxiv.org/abs/2008.10835; also IEEE https://ieeexplore.ieee.org/document/9380538/,web_search_direct_hit_arxiv_abstract_page_and_ieee_listing,candidate_verified_exists_fulltext_not_reviewed,"Directly compares character networks in 正史 Records of the Three Kingdoms vs 演義 Romance using NLP-extracted relations; closest existing precedent for our HISTORY_BASE vs ROMANCE network-comparison approach. Must independently re-check author list and claims before promoting to papers.csv."
CR-002,historical_network_analysis,Coword and Cluster Analysis for the Romance of the Three Kingdoms,unconfirmed,journal article (ResearchGate-hosted PDF),unknown_not_confirmed_in_search_snippet,https://www.researchgate.net/publication/350569484_Coword_and_Cluster_Analysis_for_the_Romance_of_the_Three_Kingdoms,web_search_direct_hit_researchgate_listing,candidate_verified_exists_fulltext_not_reviewed,"Coword/cluster-based character network construction for Romance only (no History comparison). Relevant as an alternative network-construction method to evaluate against NLP relation extraction."
CR-003,historical_network_analysis,Social Network Data Analysis of Romance of The Three Kingdoms based on Python,unconfirmed,IEEE Conference Publication,unknown_not_confirmed_in_search_snippet,https://ieeexplore.ieee.org/document/9339041/,web_search_direct_hit_ieee_listing,candidate_verified_exists_fulltext_not_reviewed,"Applied Python-based network analysis on Romance text; relevant as an implementation-pattern reference, low theoretical novelty expected."
CR-004,content_analysis_intercoder_reliability,Reliability in Software Engineering Qualitative Research through Inter-Coder Agreement: A guide using Krippendorff's alpha and Atlas.ti,unconfirmed,arXiv preprint,2020,arXiv:2008.00977; https://arxiv.org/pdf/2008.00977,web_search_direct_hit_arxiv_pdf,candidate_verified_exists_fulltext_not_reviewed,"Practical guide to computing and reporting Krippendorff's alpha for qualitative coding; directly usable for our double-coding calibration design even though its domain (software engineering) differs."
CR-005,content_analysis_intercoder_reliability,Krippendorff's alpha (overview),Klaus Krippendorff (concept originator; overview page authorship is encyclopedic/Wikipedia, not a single paper),Wikipedia / SAGE Encyclopedia of Communication Research Methods,not_a_single_dated_paper,https://en.wikipedia.org/wiki/Krippendorff%27s_alpha,web_search_direct_hit_encyclopedia_pages,secondary_overview_only_not_citable_as_primary_source,"Background/definition only. Use only to orient the coding-manual design; do not cite as a primary research finding. Must locate and verify Krippendorff's own primary methodological publications before any formal citation."
CR-006,cliometrics_quantitative_history,Economic Theory Statistical Inference and Economic History (foundational cliometrics manifesto, referenced by EH.net encyclopedia entry),Alfred H. Conrad and John R. Meyer (name/venue/year recalled from general knowledge and echoed in secondary summary; NOT independently confirmed via a direct primary-source link in this search session),Journal of Economic History (secondary summary source: https://eh.net/encyclopedia/cliometrics/),1957,no_verified_DOI_or_direct_link_found_this_session,web_search_secondary_summary_only,unverified_do_not_cite,"Only an EH.net encyclopedia page describing the paper was retrieved, not the paper itself or a bibliographic database record. Author/year must be independently confirmed (e.g., via a citation index or the journal archive) before any use beyond background orientation."
CR-007,digital_humanities_knowledge_graph,Towards an RDF Knowledge Graph of Scholars from Early Modern History,unconfirmed,arXiv preprint,2020,arXiv:2009.06337; https://arxiv.org/pdf/2009.06337,web_search_direct_hit_arxiv_pdf,candidate_verified_exists_fulltext_not_reviewed,"RDF/knowledge-graph construction methodology for historical persons; relevant precedent for canonical-ID + alias modeling of Three Kingdoms figures across source layers."
CR-008,digital_humanities_knowledge_graph,CHAD-KG: A Knowledge Graph for Representing Cultural Heritage Objects and Digitisation Paradata,unconfirmed,arXiv preprint,2025,arXiv:2505.13276; https://arxiv.org/pdf/2505.13276,web_search_direct_hit_arxiv_pdf,candidate_verified_exists_fulltext_not_reviewed,"Cultural-heritage KG schema/provenance patterns; relevant for modeling source_layer + provenance + rights metadata on evidence spans, not for entity/event modeling itself."
CR-009,explainable_ai,Human-Centered Explainability in Interactive Information Systems: A Survey,unconfirmed,arXiv preprint,2025,arXiv:2507.02300; https://arxiv.org/pdf/2507.02300,web_search_direct_hit_arxiv_pdf,candidate_verified_exists_fulltext_not_reviewed,"Survey of human-centered explainability patterns for interactive systems; relevant to AIAnswerPanel/evidence-linked-claim design and to what counts as an adequate explanation for a non-expert user."
CR-010,explainable_ai,Explainable Artificial Intelligence: A Survey,unconfirmed (multiple similarly-titled XAI surveys exist; this specific PDF hosted at cs.oswego.edu was not cross-checked against a canonical bibliographic record in this session),course-hosted PDF (cs.oswego.edu),unknown_not_confirmed_in_search_snippet,https://www.cs.oswego.edu/~mgrzenda/CSC466/Paper%20Sources/Explainable-Artificial-Intelligence_-A-Survey-FINAL.pdf,web_search_direct_hit_course_page,candidate_verified_exists_fulltext_not_reviewed,"General XAI taxonomy background. Title collides with several other XAI survey papers (e.g., Adadi and Berrada 2018) that were NOT directly verified this session; do not conflate until the exact authors/venue are confirmed."
