evidence_id,source_layer,work_title,edition,volume_or_chapter,locator,person_refs,event_ref,primary_actor,subject_of_claim,coding_label,excerpt_zh,excerpt_type,translation_status,checksum_sha256_12,extraction_reviewer,review_status,confidence,ambiguity_note
HB-J01-P1,HISTORY_BASE,三國志,zh.wikisource.org crawl (edition_ref: TBD by D1),卷01 武帝紀(曹操),paragraph assessing 袁紹 before the campaign,PERSON-CAOCAO;PERSON-YUANSHAO,BATTLE-GUANDU-001,曹操,袁紹,rival_character_assessment,吾知紹之爲人，志大而智小，色厲而膽薄，忌克而少威，兵多而分畫不明，將驕而政令不一，土地雖廣，糧食雖豐，適足以爲吾奉也。,short_permitted_excerpt,original_zh_only_no_translation_provided,1bc3551e2f72,"R1-equivalent (orchestrator single-coder pass, 2026-09-19)",extracted_not_double_coded,high,"曹操's own stated basis for confidence before the campaign, quoted in his own annals."
HB-J01-P2,HISTORY_BASE,三國志,zh.wikisource.org crawl (edition_ref: TBD by D1),卷01 武帝紀(曹操),"paragraph on the 白馬 relief, 顏良's death",PERSON-GUANYU,BATTLE-GUANDU-001,關羽,,joint_military_command,使張遼、關羽前登，擊破，斬良。,short_permitted_excerpt,original_zh_only_no_translation_provided,3f85eb81f4b4,"R1-equivalent (orchestrator single-coder pass, 2026-09-19)",extracted_not_double_coded,high,"Credit for 顏良's death is shared with 張遼 (not a separately scored person in this slice) in 曹操's own annals -- contrast with the ROMANCE version (RM-C025-P2), which credits 關羽 alone."
HB-J01-P3,HISTORY_BASE,三國志,zh.wikisource.org crawl (edition_ref: TBD by D1),卷01 武帝紀(曹操),paragraph on 荀彧's letter urging 曹操 to hold the Guandu line,PERSON-XUNYU;PERSON-CAOCAO,BATTLE-GUANDU-001,荀彧,曹操,subordinate_initiated_strategy,紹悉衆聚官渡，欲與公決勝敗。公以至弱當至彊，若不能制，必爲所乘，是天下之大機也。,short_permitted_excerpt,original_zh_only_no_translation_provided,7dff82453982,"R1-equivalent (orchestrator single-coder pass, 2026-09-19)",extracted_not_double_coded,high,"曹操 wanted to withdraw to 許 when supplies ran low; 荀彧's letter persuaded him to hold, and 公從之 immediately follows in the source."
HB-J01-P4,HISTORY_BASE,三國志,zh.wikisource.org crawl (edition_ref: TBD by D1),卷01 武帝紀(曹操),paragraph on 許攸's defection,PERSON-XUYOU;PERSON-YUANSHAO,BATTLE-GUANDU-001,許攸,,strategic_defection,紹謀臣許攸貪財，紹不能足，來奔，因說公擊瓊等。,short_permitted_excerpt,original_zh_only_no_translation_provided,d74399a9c878,"R1-equivalent (orchestrator single-coder pass, 2026-09-19)",extracted_not_double_coded,high,"This account attributes the defection to 袁紹's stinginess toward 許攸; compare HB-J10-P2, a different HISTORY_BASE biography (荀彧傳) attributing it instead to 審配 arresting 許攸's family for lawbreaking -- two passages within the same work disagree on the proximate cause, not flagged by any annotation, so recorded here rather than coded as source_conflict_note (that label is reserved for cases an annotation itself flags)."
HB-J01-P5,HISTORY_BASE,三國志,zh.wikisource.org crawl (edition_ref: TBD by D1),卷01 武帝紀(曹操),paragraph on 張郃/高覽's defection after the Wuchao raid,PERSON-ZHANGHE,BATTLE-GUANDU-001,張郃,,strategic_defection,紹遣騎救瓊。左右或言「賊騎稍近，請分兵拒之」。公怒曰：「賊在背後，乃白！」士卒皆殊死戰，大破瓊等，皆斬之。紹初聞公之擊瓊，謂長子譚曰：「就彼攻瓊等，吾攻拔其營，彼固無所歸矣！」乃使張郃、高覽攻曹洪。郃等聞瓊破，遂來降。,short_permitted_excerpt,original_zh_only_no_translation_provided,f117b836d67e,"R1-equivalent (orchestrator single-coder pass, 2026-09-19)",extracted_not_double_coded,medium,"This account (武帝紀) frames the defection as opportunistic, immediately after hearing Wuchao had fallen. Compare 張郃's own biography (HB-J17-P2), which gives a different proximate cause (fear of 郭圖's slander) -- flagged explicitly by 裴松之 as a real discrepancy (HA-J17-P1)."
HB-J06-P1,HISTORY_BASE,三國志,zh.wikisource.org crawl (edition_ref: TBD by D1),卷06 董二袁劉傳(袁紹),paragraph on 沮授's initial strategic advice to 袁紹,PERSON-JUSHOU;PERSON-YUANSHAO,BATTLE-GUANDU-001,沮授,袁紹,subordinate_initiated_strategy,橫大河之北，合四州之地，收英雄之才，擁百萬之衆，迎大駕於西京，復宗廟於洛邑，號令天下，以討未復，以此爭鋒，誰能敵之？,short_permitted_excerpt,original_zh_only_no_translation_provided,e44dcfc017bb,"R1-equivalent (orchestrator single-coder pass, 2026-09-19)",extracted_not_double_coded,high,"紹喜曰：「此吾心也」follows immediately -- unlike 沮授's later advice (HB-J06-P3/P4), this one WAS accepted, showing his advice was not rejected on principle."
HB-J06-P2,HISTORY_BASE,三國志,zh.wikisource.org crawl (edition_ref: TBD by D1),卷06 董二袁劉傳(袁紹),paragraph on 沮授 opposing dividing territory among 袁紹's sons,PERSON-JUSHOU;PERSON-YUANSHAO,BATTLE-GUANDU-001,沮授,袁紹,decisive_leadership_under_dissent,出長子譚爲青州，沮授諫紹：「必爲禍始。」紹不聽，曰：「孤欲令諸兒各據一州也。」,short_permitted_excerpt,original_zh_only_no_translation_provided,ede67c85ecee,"R1-equivalent (orchestrator single-coder pass, 2026-09-19)",extracted_not_double_coded,high,
HB-J06-P3,HISTORY_BASE,三國志,zh.wikisource.org crawl (edition_ref: TBD by D1),卷06 董二袁劉傳(袁紹),paragraph on 沮授 opposing the grain-convoy's lack of a covering force,PERSON-JUSHOU;PERSON-YUANSHAO,BATTLE-GUANDU-001,沮授,袁紹,decisive_leadership_under_dissent,沮授說紹：「可遣將蔣奇別爲支軍於表，以斷曹公之鈔。」紹復不從。,short_permitted_excerpt,original_zh_only_no_translation_provided,abf6ffbed0af,"R1-equivalent (orchestrator single-coder pass, 2026-09-19)",extracted_not_double_coded,high,This specific rejected warning -- protect the grain convoy with a covering force -- directly predicts the Wuchao disaster that follows a few sentences later in the same juan.
HB-J06-P4,HISTORY_BASE,三國志,zh.wikisource.org crawl (edition_ref: TBD by D1),卷06 董二袁劉傳(袁紹),paragraph on 沮授's capture and death,PERSON-JUSHOU;PERSON-CAOCAO,BATTLE-GUANDU-001,沮授,,loyalty_override_duty,沮授不及紹渡，爲人所執，詣太祖，太祖厚待之。後謀還袁氏，見殺。,short_permitted_excerpt,original_zh_only_no_translation_provided,d7c5ebc6f72d,"R1-equivalent (orchestrator single-coder pass, 2026-09-19)",extracted_not_double_coded,high,"曹操 (the captor) treated him well, but 沮授 still tried to return to his former lord's side and was killed for it -- personal loyalty to the losing side chosen over accepting the victor's favorable treatment."
HB-J06-P5,HISTORY_BASE,三國志,zh.wikisource.org crawl (edition_ref: TBD by D1),卷06 董二袁劉傳(袁紹),paragraph on 袁紹 executing 田豐 after the defeat,PERSON-YUANSHAO;PERSON-TIANFENG,BATTLE-GUANDU-001,袁紹,田豐,punished_for_correct_dissent,紹還，謂左右曰：「吾不用田豐言，果爲所笑。」遂殺之。,short_permitted_excerpt,original_zh_only_no_translation_provided,84e7a57994de,"R1-equivalent (orchestrator single-coder pass, 2026-09-19)",extracted_not_double_coded,high,"田豐 had advised a war-of-attrition strategy instead of open battle (not separately excerpted here) and was imprisoned for insisting; he is executed specifically because the defeat proved him right, not for a new offense."
