evidence_id,source_layer,work_title,edition,volume_or_chapter,locator,person_refs,event_ref,primary_actor,subject_of_claim,coding_label,excerpt_zh,excerpt_type,translation_status,checksum_sha256_12,extraction_reviewer,review_status,confidence,ambiguity_note
HB-J01-P1,HISTORY_BASE,三國志,zh.wikisource.org crawl (edition_ref: TBD by D1),卷01 武帝紀(曹操),paragraph containing first 赤壁 mention,PERSON-CAOCAO,BATTLE-CHIBI-001,曹操,,military_setback_attribution,"公至赤壁，與備戰，不利。於是大疫，吏士多死者，乃引軍還。",short_permitted_excerpt,original_zh_only_no_translation_provided,cd8e6ddcd5f4,R1 (single coder),extracted_not_double_coded,high,"Attributes retreat to disease, not to enemy tactics — contrast with Wu-shu framing below (HB-J54-P1)."
HB-J32-P1,HISTORY_BASE,三國志,zh.wikisource.org crawl (edition_ref: TBD by D1),卷32 先主傳(劉備),paragraph containing 赤壁 mention,PERSON-LIUBEI,BATTLE-CHIBI-001,劉備,,joint_military_command,"與曹公戰於赤壁，大破之，焚其舟船。先主與吳軍水陸並進，追到南郡。",short_permitted_excerpt,original_zh_only_no_translation_provided,f7f04080c1b7,R1 (single coder),extracted_not_double_coded,high,"Frames Liu Bei as active co-victor with Wu forces, differing from HB-J01-P1's illness-only framing."
HB-J35-P1,HISTORY_BASE,三國志,zh.wikisource.org crawl (edition_ref: TBD by D1),卷35 諸葛亮傳,paragraph containing 赤壁 mention,PERSON-ZHUGELIANG,BATTLE-CHIBI-001,諸葛亮,,minimal_narrative_role,"曹公敗於赤壁，引軍歸鄴。先主遂收江南，以亮為軍師中郎將。",short_permitted_excerpt,original_zh_only_no_translation_provided,c369a43a56f5,R1 (single coder),extracted_not_double_coded,high,"Zhuge Liang's own HISTORY_BASE biography assigns him no direct battle action at Red Cliffs; this absence is itself the finding, not a data gap to fill in."
HB-J47-P1,HISTORY_BASE,三國志,zh.wikisource.org crawl (edition_ref: TBD by D1),卷47 吳主傳(孫權),paragraph containing 赤壁 mention,PERSON-SUNQUAN;PERSON-ZHOUYU,BATTLE-CHIBI-001,孫權,,decisive_leadership_under_dissent,"惟瑜、肅執拒之儀，意與權同。瑜、普爲左右督，各領萬人，與備俱進，遇於赤壁，大破曹公軍。",short_permitted_excerpt,original_zh_only_no_translation_provided,f0137051c401,R1 (single coder),extracted_not_double_coded,medium,"Preceding sentence (not quoted here) states most court advisers urged surrender; Sun Quan aligned with the minority resistance position. Full context should be re-checked by a second coder."
HB-J54-P1,HISTORY_BASE,三國志,zh.wikisource.org crawl (edition_ref: TBD by D1),卷54 周瑜魯肅呂蒙傳,paragraph on fire-attack origin,PERSON-ZHOUYU;PERSON-HUANGGAI,BATTLE-CHIBI-001,黃蓋,周瑜,subordinate_initiated_strategy,"瑜部將黃蓋曰：今寇眾我寡，難與持久。然觀操軍船艦，首尾相接，可燒而走也。",short_permitted_excerpt,original_zh_only_no_translation_provided,75f5abb65d0b,R1 (single coder),extracted_not_double_coded,high,"Huang Gai (not one of the 5-person cast) is the stated originator; Zhou Yu authorizes/executes. Attribution should not be simplified to 'Zhou Yu invented the fire attack.'"
HB-J54-P2,HISTORY_BASE,三國志,zh.wikisource.org crawl (edition_ref: TBD by D1),卷54 周瑜魯肅呂蒙傳,paragraph quoting Cao Cao's letter to Sun Quan,PERSON-CAOCAO;PERSON-ZHOUYU,BATTLE-CHIBI-001,曹操,周瑜,rival_credit_denial,"赤壁之役，值有疾病，孤燒船自退，橫使周瑜虛獲此名。",short_permitted_excerpt,original_zh_only_no_translation_provided,f7ba1411d2b4,R1 (single coder),extracted_not_double_coded,high,"Quoted within Zhou Yu's own HISTORY_BASE biography (not an annotation block) — Chen Shou includes the rival's disputing claim directly in the main text."
HA-J01-P1,HISTORY_ANNOTATION,三國志裴松之注,zh.wikisource.org crawl (edition_ref: TBD by D1; cited work: 山陽公載記),卷01 武帝紀 annotation block,paragraph inside 〈〉 bracket after 赤壁 mention,PERSON-CAOCAO;PERSON-LIUBEI,BATTLE-CHIBI-001,曹操,劉備,strategic_self_awareness,"劉備，吾儔也。但得計少晚；向使早放火，吾徒無類矣。",short_permitted_excerpt,original_zh_only_no_translation_provided,8d44073b080d,R1 (single coder),extracted_not_double_coded,medium,"Layer classification (HISTORY_ANNOTATION) based on R1's bracket heuristic in coding_manual.md, not yet confirmed by D1's extraction pipeline."
HA-J01-P2,HISTORY_ANNOTATION,三國志裴松之注,zh.wikisource.org crawl (edition_ref: TBD by D1; cited commentator: 孫盛),卷01 武帝紀 annotation block,paragraph inside 〈〉 bracket after 赤壁 mention,PERSON-CAOCAO;PERSON-LIUBEI;PERSON-SUNQUAN,BATTLE-CHIBI-001,孫盛(commentator),,source_conflict_note,"孫盛異同評曰：案吳志，劉備先破公軍，然後權攻合肥，而此記云權先攻合肥，後有赤壁之事。二者不同，吳志爲是。",short_permitted_excerpt,original_zh_only_no_translation_provided,7781d01ffe14,R1 (single coder),extracted_not_double_coded,high,"Explicit historiographical event-order conflict flagged by the annotator himself; no single actor score applies to this row."
HA-J32-P1,HISTORY_ANNOTATION,三國志裴松之注,zh.wikisource.org crawl (edition_ref: TBD by D1; commentator: 孫盛),卷32 先主傳 annotation block,paragraph inside 〈〉 bracket after 赤壁 mention,PERSON-LIUBEI,BATTLE-CHIBI-001,孫盛(commentator),江表傳(source),source_bias_flag,"孫盛曰：江表傳之言，當是吳人欲專美之辭。",short_permitted_excerpt,original_zh_only_no_translation_provided,64f02efbb502,R1 (single coder),extracted_not_double_coded,high,"Annotator explicitly flags a cited source as partisan; this is evidence about source reliability, not about Liu Bei's actions."
HA-J54-P1,HISTORY_ANNOTATION,三國志裴松之注,zh.wikisource.org crawl (edition_ref: TBD by D1; cited work: 江表傳),卷54 annotation block,paragraph inside 〈〉 bracket in Zhou Yu biography,PERSON-HUANGGAI;PERSON-ZHOUYU,BATTLE-CHIBI-001,黃蓋,,deceptive_communication,"蓋受孫氏厚恩，常為將帥，見遇不薄...今日歸命，是其實計。",short_permitted_excerpt,original_zh_only_paraphrase_ellipsis_marked,28bdf1927e52,R1 (single coder),extracted_not_double_coded,medium,"Excerpt shortened with ellipsis per source-policy short-excerpt rule; full letter is longer. Compare directly to RM-C049-P6 (same underlying tactic, dramatized in Romance)."
