evidence_id,coding_label,second_coder_confidence,second_coder_note
HB-J01-P1,military_setback_attribution,high,"Passage states 大疫 (plague/illness) as the explicit named cause of the retreat after an unfavorable battle, matching the label's definition and its own manual example almost verbatim."
HB-J32-P1,joint_military_command,high,"'先主與吳軍水陸並進' explicitly credits 劉備 and the 吳 forces together for the joint land-and-water advance, matching the label's own example verbatim."
HB-J35-P1,minimal_narrative_role,high,"In 諸葛亮's own HISTORY_BASE biography he is only mentioned in passing after the battle (appointed afterward) with no direct action in the event itself, matching the label's own example."
HB-J47-P1,decisive_leadership_under_dissent,medium,"'惟瑜、肅執拒之儀，意與權同' shows 孫權 siding with the resisting minority (瑜/肅) rather than the implied surrender-leaning majority, matching the leader-vs-dissent example; I seriously considered joint_military_command for the passage's second clause ('瑜、普...與備俱進...大破曹公軍'), which credits multiple named parties for the outcome, and this row genuinely spans both labels."
HB-J54-P1,subordinate_initiated_strategy,high,"黃蓋 proposes the fire-attack tactic to his superior 周瑜, which is the coding manual's own worked ambiguity-handling example for this exact evidence_id."
HB-J54-P2,rival_credit_denial,high,"曹操's letter reassigns the victory to illness/self-retreat and explicitly denies 周瑜 credit for it, matching the label's own example almost verbatim."
HA-J01-P1,strategic_self_awareness,high,"曹操 is quoted acknowledging his own near-fatal error ('向使早放火，吾徒無類矣') without blaming external factors, which is the manual's own verbatim example."
HA-J01-P2,source_conflict_note,high,"孫盛 explicitly flags a discrepancy in event order between 吳志 and this record ('二者不同，吳志爲是'), matching the label's own example (a 孫盛 note comparing sources)."
HA-J32-P1,source_bias_flag,high,"孫盛 explicitly attributes the 江表傳 claim to partisan (Wu) self-interest; this excerpt is the manual's own example quoted verbatim."
HA-J54-P1,deceptive_communication,high,"This is the documented setup/justification for 黃蓋's feigned-surrender tactic, which the manual names directly as its example for this label."
HA-J54-P2,peer_praise,high,"孫權 praises 周瑜's general competence ('文武籌略，萬人之英') without tying it to one specific action, matching the label's own example verbatim."
HA-J54-P3,leadership_attribution_acknowledgment,high,"孫權's statement ('孤非周公瑾，不帝矣') explicitly credits 周瑜 for his own success/outcome; this is the manual's own verbatim example."
RM-C049-P1,psychosomatic_strategic_anxiety,high,"周瑜's ROMANCE-only collapse/feigned illness is narratively tied to the unresolved fire-attack plan with no stated external cause, matching the manual's own chapter-49 example."
RM-C049-P2,subordinate_initiated_strategy,medium,"諸葛亮's note proposes the fire-attack tactic ('宜用火攻...只欠東風') that 周瑜 will authorize/execute, structurally resembling subordinate_initiated_strategy even though 諸葛亮 is not formally 周瑜's subordinate; no label cleanly covers a cross-faction ally diagnosing another leader's unstated strategic block, so this is my closest fit and the row I am least confident on."
RM-C049-P3,rival_elimination_attempt,high,"周瑜 explicitly plans to kill 諸葛亮 outside open battle ('及早殺卻，免生他日之憂'), matching the label's own example."
RM-C049-P4,foresight_escape_planning,high,"諸葛亮 states he pre-arranged 趙雲's boat in anticipation of 周瑜's move against him before it occurs, which is the manual's own verbatim example."
RM-C049-P5,strategic_manipulation_of_subordinate,high,"諸葛亮 assigns 關羽 to Huarong Road specifically because of 關羽's past debt to 曹操, matching the manual's own example (assigning 關羽 to test him) almost verbatim."
RM-C049-P6,rival_elimination_attempt,medium,"周瑜 kills the captured double-agent 蔡和 outside open battle as part of the surrender ruse, fitting the label's literal 'kill/remove a rival outside open battle' wording; I seriously considered deceptive_communication instead since the whole scene functions as staging for 黃蓋's feigned defection, but this specific excerpt is an execution rather than a message sent to the adversary, so I favored the elimination label."
RM-C050-P1,appeal_to_past_favor,high,"曹操 explicitly invokes past personal treatment ('昔日之情') to sway 關羽's present decision, matching the label's own example."
RM-C050-P2,loyalty_override_duty,high,"關羽 releases 曹操 out of personal loyalty/righteousness despite his military pledge, which is the manual's own verbatim example."
RM-C050-P3,leadership_self_reflection_regret,high,"曹操 explicitly regrets not having 郭嘉 present and attributes the defeat to that specific absence, matching the manual's own verbatim example."
RM-C050-P4,fatalistic_strategic_foresight,high,"諸葛亮 justifies letting 關羽 spare 曹操 by claiming astrological foreknowledge that 曹操 is not yet fated to die, which is the manual's own verbatim example."
