evidence_id,source_layer,work_title,edition,volume_or_chapter,locator,person_refs,event_ref,primary_actor,subject_of_claim,excerpt_zh,excerpt_type,translation_status,checksum_sha256_12
HB-J01-P1,HISTORY_BASE,三國志,zh.wikisource.org crawl (edition_ref: TBD by D1),卷01 武帝紀(曹操),paragraph containing first 赤壁 mention,PERSON-CAOCAO,BATTLE-CHIBI-001,曹操,,公至赤壁，與備戰，不利。於是大疫，吏士多死者，乃引軍還。,short_permitted_excerpt,original_zh_only_no_translation_provided,cd8e6ddcd5f4
HB-J32-P1,HISTORY_BASE,三國志,zh.wikisource.org crawl (edition_ref: TBD by D1),卷32 先主傳(劉備),paragraph containing 赤壁 mention,PERSON-LIUBEI,BATTLE-CHIBI-001,劉備,,與曹公戰於赤壁，大破之，焚其舟船。先主與吳軍水陸並進，追到南郡。,short_permitted_excerpt,original_zh_only_no_translation_provided,f7f04080c1b7
HB-J35-P1,HISTORY_BASE,三國志,zh.wikisource.org crawl (edition_ref: TBD by D1),卷35 諸葛亮傳,paragraph containing 赤壁 mention,PERSON-ZHUGELIANG,BATTLE-CHIBI-001,諸葛亮,,曹公敗於赤壁，引軍歸鄴。先主遂收江南，以亮為軍師中郎將。,short_permitted_excerpt,original_zh_only_no_translation_provided,c369a43a56f5
HB-J47-P1,HISTORY_BASE,三國志,zh.wikisource.org crawl (edition_ref: TBD by D1),卷47 吳主傳(孫權),paragraph containing 赤壁 mention,PERSON-SUNQUAN;PERSON-ZHOUYU,BATTLE-CHIBI-001,孫權,,惟瑜、肅執拒之儀，意與權同。瑜、普爲左右督，各領萬人，與備俱進，遇於赤壁，大破曹公軍。,short_permitted_excerpt,original_zh_only_no_translation_provided,f0137051c401
HB-J54-P1,HISTORY_BASE,三國志,zh.wikisource.org crawl (edition_ref: TBD by D1),卷54 周瑜魯肅呂蒙傳,paragraph on fire-attack origin,PERSON-ZHOUYU;PERSON-HUANGGAI,BATTLE-CHIBI-001,黃蓋,周瑜,瑜部將黃蓋曰：今寇眾我寡，難與持久。然觀操軍船艦，首尾相接，可燒而走也。,short_permitted_excerpt,original_zh_only_no_translation_provided,75f5abb65d0b
HB-J54-P2,HISTORY_BASE,三國志,zh.wikisource.org crawl (edition_ref: TBD by D1),卷54 周瑜魯肅呂蒙傳,paragraph quoting Cao Cao's letter to Sun Quan,PERSON-CAOCAO;PERSON-ZHOUYU,BATTLE-CHIBI-001,曹操,周瑜,赤壁之役，值有疾病，孤燒船自退，橫使周瑜虛獲此名。,short_permitted_excerpt,original_zh_only_no_translation_provided,f7ba1411d2b4
HA-J01-P1,HISTORY_ANNOTATION,三國志裴松之注,zh.wikisource.org crawl (edition_ref: TBD by D1; cited work: 山陽公載記),卷01 武帝紀 annotation block,paragraph inside 〈〉 bracket after 赤壁 mention,PERSON-CAOCAO;PERSON-LIUBEI,BATTLE-CHIBI-001,曹操,劉備,劉備，吾儔也。但得計少晚；向使早放火，吾徒無類矣。,short_permitted_excerpt,original_zh_only_no_translation_provided,8d44073b080d
HA-J01-P2,HISTORY_ANNOTATION,三國志裴松之注,zh.wikisource.org crawl (edition_ref: TBD by D1; cited commentator: 孫盛),卷01 武帝紀 annotation block,paragraph inside 〈〉 bracket after 赤壁 mention,PERSON-CAOCAO;PERSON-LIUBEI;PERSON-SUNQUAN,BATTLE-CHIBI-001,孫盛(commentator),,孫盛異同評曰：案吳志，劉備先破公軍，然後權攻合肥，而此記云權先攻合肥，後有赤壁之事。二者不同，吳志爲是。,short_permitted_excerpt,original_zh_only_no_translation_provided,7781d01ffe14
HA-J32-P1,HISTORY_ANNOTATION,三國志裴松之注,zh.wikisource.org crawl (edition_ref: TBD by D1; commentator: 孫盛),卷32 先主傳 annotation block,paragraph inside 〈〉 bracket after 赤壁 mention,PERSON-LIUBEI,BATTLE-CHIBI-001,孫盛(commentator),江表傳(source),孫盛曰：江表傳之言，當是吳人欲專美之辭。,short_permitted_excerpt,original_zh_only_no_translation_provided,64f02efbb502
HA-J54-P1,HISTORY_ANNOTATION,三國志裴松之注,zh.wikisource.org crawl (edition_ref: TBD by D1; cited work: 江表傳),卷54 annotation block,paragraph inside 〈〉 bracket in Zhou Yu biography,PERSON-HUANGGAI;PERSON-ZHOUYU,BATTLE-CHIBI-001,黃蓋,,蓋受孫氏厚恩，常為將帥，見遇不薄...今日歸命，是其實計。,short_permitted_excerpt,original_zh_only_paraphrase_ellipsis_marked,28bdf1927e52
HA-J54-P2,HISTORY_ANNOTATION,三國志裴松之注,zh.wikisource.org crawl (edition_ref: TBD by D1),卷54 annotation block,paragraph inside 〈〉 bracket in Zhou Yu biography,PERSON-SUNQUAN;PERSON-ZHOUYU,BATTLE-CHIBI-001,孫權,周瑜,公瑾文武籌略，萬人之英，顧其器量廣大，恐不久為人臣耳。,short_permitted_excerpt,original_zh_only_no_translation_provided,b55e9d0f7245
HA-J54-P3,HISTORY_ANNOTATION,三國志裴松之注,zh.wikisource.org crawl (edition_ref: TBD by D1),卷54 annotation block,paragraph inside 〈〉 bracket in Zhou Yu biography,PERSON-SUNQUAN;PERSON-ZHOUYU,BATTLE-CHIBI-001,孫權,周瑜,孤非周公瑾，不帝矣。,short_permitted_excerpt,original_zh_only_no_translation_provided,89702eb3ce31
RM-C049-P1,ROMANCE,三國演義,zh.wikisource.org crawl (edition_ref: TBD by D1),第四十九回,paragraph on Zhou Yu's collapse and diagnosis scene,PERSON-ZHOUYU;PERSON-ZHUGELIANG;PERSON-LUSU,BATTLE-CHIBI-001,周瑜,,瑜聞失色，乃作呻吟之聲...都督心中似覺煩積否？,short_permitted_excerpt,project_paraphrase_ellipsis_marked,6441f32cf2ac
RM-C049-P2,ROMANCE,三國演義,zh.wikisource.org crawl (edition_ref: TBD by D1),第四十九回,paragraph with Zhuge Liang's 16-character note to Zhou Yu,PERSON-ZHUGELIANG;PERSON-ZHOUYU,BATTLE-CHIBI-001,諸葛亮,,欲破曹公，宜用火攻；萬事俱備，只欠東風。,short_permitted_excerpt,original_zh_only_no_translation_provided,1f52dd7e0000
RM-C049-P3,ROMANCE,三國演義,zh.wikisource.org crawl (edition_ref: TBD by D1),第四十九回,paragraph on Zhou Yu ordering Zhuge Liang's assassination,PERSON-ZHOUYU;PERSON-ZHUGELIANG,BATTLE-CHIBI-001,周瑜,諸葛亮,此人有奪天地造化之法，鬼神不測之術！若留此人，乃東吳禍根也。及早殺卻，免生他日之憂。,short_permitted_excerpt,original_zh_only_no_translation_provided,233b15e19da3
RM-C049-P4,ROMANCE,三國演義,zh.wikisource.org crawl (edition_ref: TBD by D1),第四十九回,paragraph on Zhuge Liang's escape,PERSON-ZHUGELIANG;PERSON-ZHAOYUN,BATTLE-CHIBI-001,諸葛亮,,吾已料定都督不能容我，必來加害，預先教趙子龍來相接。,short_permitted_excerpt,original_zh_only_no_translation_provided,54537b4d43ab
RM-C049-P5,ROMANCE,三國演義,zh.wikisource.org crawl (edition_ref: TBD by D1),第四十九回,paragraph on Zhuge Liang assigning Guan Yu to Huarong Road,PERSON-ZHUGELIANG;PERSON-GUANYU;PERSON-CAOCAO,BATTLE-CHIBI-001,諸葛亮,關羽,昔日曹操待足下甚厚，足下當有以報之。今日操兵敗，必走華容道。若令足下去時，必然放他過去。,short_permitted_excerpt,original_zh_only_no_translation_provided,bac0716bf91b
RM-C049-P6,ROMANCE,三國演義,zh.wikisource.org crawl (edition_ref: TBD by D1),第四十九回,paragraph on Zhou Yu's mock execution of Cai He before dispatching Huang Gai,PERSON-ZHOUYU;PERSON-HUANGGAI,BATTLE-CHIBI-001,周瑜,,汝是何等人，敢來詐降！吾今缺少福物祭旗，願借你首級。,short_permitted_excerpt,original_zh_only_no_translation_provided,049eed1714e5
RM-C050-P1,ROMANCE,三國演義,zh.wikisource.org crawl (edition_ref: TBD by D1),第五十回,paragraph on Cao Cao pleading with Guan Yu at Huarong Road,PERSON-CAOCAO;PERSON-GUANYU,BATTLE-CHIBI-001,曹操,,曹操兵敗勢危，到此無路，望將軍以昔日之情為重。,short_permitted_excerpt,original_zh_only_no_translation_provided,7b6337fe4ad6
RM-C050-P2,ROMANCE,三國演義,zh.wikisource.org crawl (edition_ref: TBD by D1),第五十回,paragraph on Guan Yu releasing Cao Cao,PERSON-GUANYU;PERSON-CAOCAO,BATTLE-CHIBI-001,關羽,曹操,雲長是個義重如山之人...於是把馬頭勒回，謂眾軍曰：四散擺開。,short_permitted_excerpt,project_paraphrase_ellipsis_marked,de2aaa155427
RM-C050-P3,ROMANCE,三國演義,zh.wikisource.org crawl (edition_ref: TBD by D1),第五十回,paragraph on Cao Cao mourning Guo Jia,PERSON-CAOCAO;PERSON-GUOJIA,BATTLE-CHIBI-001,曹操,,吾哭郭奉孝耳！若奉孝在，決不使吾有此大失也！,short_permitted_excerpt,original_zh_only_no_translation_provided,7ef957969704
RM-C050-P4,ROMANCE,三國演義,zh.wikisource.org crawl (edition_ref: TBD by D1),第五十回,paragraph on Zhuge Liang's astrological justification,PERSON-ZHUGELIANG;PERSON-GUANYU;PERSON-CAOCAO,BATTLE-CHIBI-001,諸葛亮,,亮夜觀乾象，操賊未合身亡。留這人情，教雲長做了，亦是美事。,short_permitted_excerpt,original_zh_only_no_translation_provided,0973e5978bf0
